Orientation,X,Y
0,-30,-30
0,-20,-30
0,-10,-30
0,0,-30
0,10,-30
0,20,-30
0,30,-30
0,-30,-20
0,-20,-20
0,-10,-20
0,0,-20
0,10,-20
0,20,-20
0,30,-20
0,-30,-10
0,-20,-10
0,-10,-10
0,0,-10
0,10,-10
0,20,-10
0,30,-10
0,-30,0
0,-20,0
0,-10,0
0,0,0
0,10,0
0,20,0
0,30,0
0,-30,10
0,-20,10
0,-10,10
0,0,10
0,10,10
0,20,10
0,30,10
0,-30,20
0,-20,20
0,-10,20
0,0,20
0,10,20
0,20,20
0,30,20
0,-30,30
0,-20,30
0,-10,30
0,0,30
0,10,30
0,20,30
0,30,30
45,-30,-30
45,-20,-30
45,-10,-30
45,0,-30
45,10,-30
45,20,-30
45,30,-30
45,-30,-20
45,-20,-20
45,-10,-20
45,0,-20
45,10,-20
45,20,-20
45,30,-20
45,-30,-10
45,-20,-10
45,-10,-10
45,0,-10
45,10,-10
45,20,-10
45,30,-10
45,-30,0
45,-20,0
45,-10,0
45,0,0
45,10,0
45,20,0
45,30,0
45,-30,10
45,-20,10
45,-10,10
45,0,10
45,10,10
45,20,10
45,30,10
45,-30,20
45,-20,20
45,-10,20
45,0,20
45,10,20
45,20,20
45,30,20
45,-30,30
45,-20,30
45,-10,30
45,0,30
45,10,30
45,20,30
45,30,30
90,-30,-30
90,-20,-30
90,-10,-30
90,0,-30
90,10,-30
90,20,-30
90,30,-30
90,-30,-20
90,-20,-20
90,-10,-20
90,0,-20
90,10,-20
90,20,-20
90,30,-20
90,-30,-10
90,-20,-10
90,-10,-10
90,0,-10
90,10,-10
90,20,-10
90,30,-10
90,-30,0
90,-20,0
90,-10,0
90,0,0
90,10,0
90,20,0
90,30,0
90,-30,10
90,-20,10
90,-10,10
90,0,10
90,10,10
90,20,10
90,30,10
90,-30,20
90,-20,20
90,-10,20
90,0,20
90,10,20
90,20,20
90,30,20
90,-30,30
90,-20,30
90,-10,30
90,0,30
90,10,30
90,20,30
90,30,30
